phase,policy,annualization_sessions,annualized_net_volatility,cost_bps,cost_convention,gross_cumulative_return,holding_intervals,initial_holdings,kind,maximum_net_drawdown,mean_concentration_hhi,net_cumulative_return,slippage_bps,terminal_liquidation,turnover_l1,zero_rate_sharpe
validation,equal_weight/blend_025,252,0.24377232981040386,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.12866054357780232,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.10675199275124092,0.0834390799212891,0.12766698703166068,5.0,False,0.5871051395923599,1.6176913557497776
validation,equal_weight/cap_020,252,0.24377232981040386,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.12866054357780232,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.10675199275124092,0.0834390799212891,0.12766698703166068,5.0,False,0.5871051395923599,1.6176913557497776
validation,equal_weight/diagonal_025,252,0.24377232981040386,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.12866054357780232,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.10675199275124092,0.0834390799212891,0.12766698703166068,5.0,False,0.5871051395923599,1.6176913557497776
validation,equal_weight/direct,252,0.24377232981040386,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.12866054357780232,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.10675199275124092,0.0834390799212891,0.12766698703166068,5.0,False,0.5871051395923599,1.6176913557497776
validation,equal_weight/floor_0,252,0.24377232981040386,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.12866054357780232,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.10675199275124092,0.0834390799212891,0.12766698703166068,5.0,False,0.5871051395923599,1.6176913557497776
validation,equal_weight/risk_1,252,0.24377232981040386,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.12866054357780232,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.10675199275124092,0.0834390799212891,0.12766698703166068,5.0,False,0.5871051395923599,1.6176913557497776
validation,equal_weight/risk_10,252,0.24377232981040386,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.12866054357780232,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.10675199275124092,0.0834390799212891,0.12766698703166068,5.0,False,0.5871051395923599,1.6176913557497776
validation,historical_only/blend_025,252,0.3555413862226242,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.36033567391683086,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.10219756381268397,0.17334746508729298,0.35353635961426644,5.0,False,3.339674492901049,2.7643769585361766
validation,historical_only/cap_020,252,0.310459979103203,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.30367118816141137,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.0955533308087767,0.12504075932825942,0.30048041163677186,5.0,False,1.6333593543616127,2.7259822720007114
validation,historical_only/diagonal_025,252,0.3586741883757846,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.364166430957535,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.10219757563201604,0.1716833265796519,0.3577961654078743,5.0,False,3.1196782919958688,2.7699286483809247
