phase,policy,solutions,max_budget_residual,max_bound_residual,max_gap_tolerance_ratio,mean_condition,mean_hhi,worst_1bp_weight_l1,solver_seconds
validation,historical_only/blend_025,17,1.1102230246251565e-15,0.0,0.09621454476551693,26.300355063881806,0.1711912445332567,,0.017900133001603535
validation,historical_only/cap_020,17,8.881784197001252e-16,0.0,6.833146259542264e-11,26.300355063881806,0.12388324863749833,,0.01439193499754765
validation,historical_only/diagonal_025,17,1.1102230246251565e-15,0.0,0.10682372552008183,18.04895507198179,0.1694630589600673,,0.01902318900465616
validation,historical_only/direct,17,1.1102230246251565e-15,0.0,0.09621454476551693,26.300355063881806,0.1711912445332567,,0.017914250998728676
validation,historical_only/floor_0,17,1.1102230246251565e-15,0.0,0.474504108404313,26.300355063881806,0.458166529352763,,0.024752340999839362
validation,historical_only/risk_1,17,3.1086244689504383e-15,0.0,1.1365479605083897e-09,26.300355063881806,0.216109657664143,,0.01368900900342851
validation,historical_only/risk_10,17,6.661338147750939e-16,0.0,0.006005284918990413,26.300355063881806,0.16708858635194088,,0.020264428998416406
validation,no_holidays/blend_025,17,9.547918011776346e-15,0.0,2.9169952820362062e-09,26.300355063881806,0.23000000000000081,,0.013993590000609402
validation,no_holidays/cap_020,17,4.218847493575595e-15,0.0,2.0314263011207523e-08,26.300355063881806,0.12499999999999976,,0.01386616199852142
validation,no_holidays/diagonal_025,17,1.3766765505351941e-14,0.0,1.3447322667010235e-08,18.04895507198179,0.22597367719987446,,0.013585513999714749
validation,no_holidays/direct,17,5.10702591327572e-15,0.0,6.745132672046545e-09,26.300355063881806,0.22639835008752818,,0.013488995000443538
validation,no_holidays/floor_0,17,5.551115123125783e-15,0.0,7.693656574471905e-09,26.300355063881806,0.9706856375205574,,0.017101681007261504
validation,no_holidays/risk_1,17,1.1546319456101628e-14,0.0,1.7202674059167995e-08,26.300355063881806,0.22676969828378848,,0.013654099995619617
validation,no_holidays/risk_10,17,5.329070518200751e-15,0.0,5.5466909712250086e-09,26.300355063881806,0.22635570966994611,,0.013805685995976091
validation,reference/blend_025,17,1.9095836023552692e-14,0.0,5.656041569962397e-09,26.300355063881806,0.2254597203130695,,0.01350909699795011
validation,reference/cap_020,17,5.551115123125783e-15,0.0,6.113234418730004e-09,26.300355063881806,0.1250000000000001,,0.013502951000191388
validation,reference/diagonal_025,17,9.325873406851315e-15,0.0,6.275967415718801e-09,18.04895507198179,0.2269426566915619,0.0450101759849387,0.014552005999576068
validation,reference/direct,17,7.993605777301127e-15,0.0,8.598153493750642e-09,26.300355063881806,0.22758882338237585,0.04544142847012193,0.01611977799802844
validation,reference/floor_0,17,8.881784197001252e-15,0.0,8.499127589292076e-09,26.300355063881806,0.971190562259877,,0.016715392001060536
validation,reference/risk_1,17,6.8833827526759706e-15,0.0,5.414700291709669e-09,26.300355063881806,0.23000000000000045,,0.015136812002310762
validation,reference/risk_10,17,6.439293542825908e-15,0.0,1.639023297355211e-08,26.300355063881806,0.2268876145266059,,0.013735285996517632
validation,rigid_trend/blend_025,17,6.217248937900877e-15,0.0,0.0016998839867115284,26.300355063881806,0.22063980167039243,,0.016843515999426018
validation,rigid_trend/cap_020,17,3.3306690738754696e-15,0.0,5.23235155180851e-09,26.300355063881806,0.12499999999999986,,0.014287092000813573
validation,rigid_trend/diagonal_025,17,1.6653345369377348e-14,0.0,3.908700758466671e-09,18.04895507198179,0.22857136503522704,,0.017537666002681362
validation,rigid_trend/direct,17,1.199040866595169e-14,0.0,2.4922131506616417e-09,26.300355063881806,0.22975189977135807,,0.017015109000567463
validation,rigid_trend/floor_0,17,1.021405182655144e-14,0.0,1.2954168145705875e-08,26.300355063881806,0.9300766701482588,,0.020211777997246827
validation,rigid_trend/risk_1,17,2.4868995751603507e-14,0.0,4.669960761547492e-09,26.300355063881806,0.23000000000000068,,0.01684116000251379
validation,rigid_trend/risk_10,17,1.0436096431476471e-14,0.0,3.30872557857015e-09,26.300355063881806,0.22005648176682904,,0.01721795399862458
validation,weekly_only/blend_025,17,7.327471962526033e-15,0.0,6.21872956035208e-09,26.300355063881806,0.22529516619881157,,0.01550993600540096
validation,weekly_only/cap_020,17,1.7763568394002505e-15,0.0,6.2794203928871e-09,26.300355063881806,0.12499999999999974,,0.014814383997872937
